c12345678,Hodgeson,James,,S1234,UFBSCMSB,2016/17,HodgesonJames@lol.com,
c87654321,Trump,Donald,The-Wanker,s2345,UFBSCMSA,2015/16,lolhesucks@no.com,
c13578642,Potter,Harry,,S1234,UFBSCMSB,2016/17,harrylovespot@gmail.com,
c13246578,Barr-toolong,Katie,something,s2345,UFBSCMSA,2016/17,toolongtofit@gmail.com,
c14235867,May,Theresa,Friggin,s3456,UFBSCSHA,2014/15,lolwhy@cardiff.ac.uk,
c43218765,Lover,Nut,Ella,s1352,UFBSASEA,2016/17,mmmmmmmm@gmail.com,
c89056734,Donalds,Mc,,s3456,UFBSCSHA,2015/16,yaaaaassssss@cardiff.ac.uk,
c09876543,Person,Another,,s1352,UFBSASEA,2014/15,ugh@cardiff.ac.uk,
c12347890,Numbers,So,Many,S1234,UFBSCMSB,2016/17,lovinglife@cardiff.ac.uk,
c12457890,Longstockings,Pippy,,s2345,UFBSCMSA,2015/16,wowtall@cardiff.ac.uk,
c21436587,Apples,Green,,s3456,UFBSCSHA,2016/17,health@cardiff.ac.uk,
c09988776,Ghetto,The,Seng,s1352,UFBSASEA,2014/15,trash@cardiff.ac.uk,
c54321876,Tree,Maple,,S1234,UFBSCMSB,2016/17,pretty@cardiff.ac.uk,
c90897867,Scissorhands,Edward,,s2345,UFBSCMSA,2016/17,watchout@cardiff.ac.uk,
c56489700,Seashells,Mary,Sells,s3456,UFBSCSHA,2015/16,ontheseashore@cardiff.ac.uk,
c32124321,Man,BOOGEY,,s1352,UFBSASEA,2016/17,oooohoooooohh@cardiff.ac.uk,
c64532188,Typing,Ugh,hhhh,S1234,UFBSCMSB,2014/15,ugghhhhhhhh@cardiff.ac.uk,
c87687622,Cakes,Jaffa,,s2345,UFBSCMSA,2015/16,beautifull@cardiff.ac.uk,
c11111222,Fanta,Coke,Or,s3456,UFBSCSHA,2016/17,hmmmtoughdecision@cardiff.ac.uk,
c55554637,YES,Last,One,s1352,UFBSASEA,2016/17,finally@cardiff.ac.uk
